,empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra.address,extra.last_updated,extra.renting,extra.returning,extra.uid,extra.bike_uids,extra.number,extra.slots,Dist from Coit
0,0.0,0.0,we-cycle,39.187457,-106.819228,Rubey Park,2021-01-20T16:33:52.920000Z,Aspen,1611160237.0,0.0,1.0,400,,,,16.97134300000001
0,7.0,6.0,arborbike,42.29492,-83.71988,Murfin & Hubbard,2019-07-25T12:19:03.556000Z,2375 Hubbardd Rd.,1564057143.0,0.0,0.0,bcycle_arborbike_2832,,,,43.178154
0,4.0,9.0,austin,30.27217,-97.75246,9th/Henderson,2021-02-26T20:51:24.428000Z,672 Henderson Street,1614372684.0,1.0,1.0,bcycle_austin_3685,,,,32.183977999999996
1,6.0,7.0,austin,30.25495,-97.74755,South Congress @ Bouldin Creek,2021-02-26T20:51:24.429000Z,799 South Congress Avenue,1614372684.0,1.0,1.0,bcycle_austin_4048,,,,32.20610799999999
2,4.0,15.0,austin,30.28354,-97.73953,21st/University,2021-02-26T20:51:24.431000Z,2007 University Ave. ,1614372684.0,1.0,1.0,bcycle_austin_3797,,,,32.185537999999994
3,3.0,6.0,austin,30.27059,-97.74441,8th/Lavaca,2021-02-26T20:51:24.432000Z,750 Lavaca Street,1614372684.0,1.0,1.0,bcycle_austin_4047,,,,32.193608
4,4.0,15.0,austin,30.26476,-97.74678,2nd/Lavaca @ City Hall,2021-02-26T20:51:24.433000Z,Presented by Graves Dougherty Hearon & Moody,1614372684.0,1.0,1.0,bcycle_austin_2499,,,,32.197068
5,6.0,7.0,austin,30.29333,-97.74412,28th/Rio Grande,2021-02-26T20:51:24.435000Z,2717 Rio Grande St.,1614372684.0,1.0,1.0,bcycle_austin_3793,,,,32.171158000000005
6,5.0,4.0,austin,30.25457,-97.74258,Boardwalk West,2021-02-26T20:51:24.436000Z,300 E. Riverside Dr.,1614372684.0,1.0,1.0,bcycle_austin_3687,,,,32.21145799999999
7,1.0,12.0,austin,30.27807,-97.77272,Lake Austin Blvd/Deep Eddy,2021-02-26T20:51:24.438000Z,2401 Lake Austin Blvd,1614372684.0,1.0,1.0,bcycle_austin_3790,,,,32.15781799999999
8,2.0,11.0,austin,30.26212,-97.73815,Red River/Cesar Chavez @ The Fairmont,2021-02-26T20:51:24.439000Z,101 Red River St.,1614372684.0,1.0,1.0,bcycle_austin_4060,,,,32.208338
9,5.0,10.0,austin,30.24472,-97.72336,Lakeshore/Austin Hostel,2021-02-26T20:51:24.440000Z,2200 S Lakeshore Blvd,1614372684.0,1.0,1.0,bcycle_austin_4061,,,,32.240528
10,2.0,11.0,austin,30.25839,-97.74592,South Congress/Barton Springs @ The Austin American-Statesman,2021-02-26T20:51:24.441000Z,305 S. Congress Ave.,1614372684.0,1.0,1.0,bcycle_austin_3513,,,,32.204298
11,4.0,9.0,austin,30.26406,-97.76385,Sterzing/Barton Springs,2021-02-26T20:51:24.442000Z,1872 Barton Springs Rd,1614372684.0,1.0,1.0,bcycle_austin_3686,,,,32.18069799999999
12,5.0,13.0,austin,30.2726,-97.74127,11th/Congress @ The Texas Capitol,2021-02-26T20:51:24.443000Z,1090 Congress Ave.,1614372684.0,1.0,1.0,bcycle_austin_2497,,,,32.194738
13,6.0,8.0,austin,30.26978,-97.74224,8th/Congress,2021-02-26T20:51:24.446000Z,111 E. 8th St.,1614372684.0,1.0,1.0,bcycle_austin_2496,,,,32.196588000000006
14,3.0,12.0,austin,30.26634,-97.74378,4th/Congress,2021-02-26T20:51:24.447000Z,120 W. 4th St.,1614372684.0,1.0,1.0,bcycle_austin_2495,,,,32.198488
15,4.0,10.0,austin,30.26408,-97.74355,2nd/Congress,2021-02-26T20:51:24.448000Z,151 E. 2nd St,1614372684.0,1.0,1.0,bcycle_austin_2494,,,,32.200978
16,4.0,9.0,austin,30.25941,-97.74971,South 1st/Riverside @ Long Center,2021-02-26T20:51:24.449000Z,Presented by Austin Energy,1614372684.0,1.0,1.0,bcycle_austin_2549,,,,32.199488
